region,country,lakeno,year,mesh,lakearea,waterdepth,tn,tp,elev,lat,long,source,S_PIE,S,N,S_n
Temperate,Denmark,DK_21562,2005,212,0.12,2.4,0.53,0.04,15,56.1507,9.559,erik,8.859595562,16,2475,15.99998075
Temperate,Denmark,DK_21016,2004,212,0.1,2.34,2.15,0.23,15,56.1588,9.5439,erik,1.247964499,6,43392,5.201067866
Temperate,Denmark,DK_26013,2006,212,0.45,1,2.14,0.27,15,56.2169,9.9637,erik,5.901557097,18,20139,16.66036753
Temperate,Denmark,DK_52007,2006,212,0.06,0.7,1.53,0.06,15,56.2255,9.2517,erik,5.282435128,11,3888,10.9986376
Temperate,Denmark,DK_21278,2006,212,0.93,1.19,2.05,0.13,15,56.2556,9.4879,erik,4.813784397,11,8675,10.66317358
Temperate,Denmark,DK_53058,2004,212,0.16,1.1,0.88,0.12,15,56.2572,10.6957,erik,2.275923766,8,22205,7.40786779
Temperate,Denmark,DK_21807,2004,212,0.12,2.22,1.13,0.43,15,56.3296,9.5807,erik,3.258293564,4,2473,4
Temperate,Denmark,DK_21314,2005,212,0.06,1.25,2.64,0.28,15,56.39,9.8851,erik,5.537600736,14,6891,13.95436059
Temperate,Denmark,DK_48011,2006,212,0.12,1.38,0.91,0.09,15,56.3954,10.4009,erik,3.648417884,6,6668,5.988029495
Temperate,Denmark,DK_22016,2005,212,0.1,0.51,1.22,0.03,15,56.3972,8.244,erik,6.883504381,36,24437,30.20242108
Temperate,Denmark,DK_22022,2005,212,1.1,1.26,1.48,0.08,15,56.4102,8.21,erik,5.17648883,26,30914,22.15435735
Temperate,Denmark,DK_20026,2006,212,1.56,2.51,1.28,0.11,15,56.4358,8.9154,erik,2.988622359,6,2415,5.999995505
Temperate,Denmark,DK_14011,2006,212,0.06,1.91,1.83,0.07,15,56.4742,10.2419,erik,4.782937125,9,3888,8.999091733
Temperate,Denmark,DK_20014,2006,212,4.18,3.6,1.88,0.35,15,56.5154,8.9134,erik,3.071322938,5,1885,4.99999997
Temperate,Denmark,DK_20014,2006,212,4.18,3.6,1.75,0.33,15,56.5154,8.9134,erik,3.071322938,5,1885,4.99999997
Temperate,Denmark,DK_16037,2004,212,0.09,0.98,0.65,0.03,15,56.5479,8.8534,erik,6.743845334,27,11067,24.92542544
Temperate,Denmark,DK_16037,2005,212,0.09,0.98,0.34,0.01,15,56.5479,8.8534,erik,9.745800038,22,8403,21.54880965
Temperate,Denmark,DK_16037,2006,212,0.09,0.98,0.5,0.02,15,56.5479,8.8534,erik,7.653139329,25,16173,22.49735776
Temperate,Denmark,DK_16002,2007,212,3.16,1.58,1.24,0.16,15,56.557,8.1356,erik,1.462102686,10,54343,7.424647998
Temperate,Denmark,DK_16026,2007,212,0.12,0.47,1.93,0.32,15,56.5818,8.1694,erik,3.02223928,11,9479,10.75662276
Temperate,Denmark,DK_16023,2007,212,0.31,0.49,1.53,0.52,15,56.6024,8.2232,erik,4.212840834,17,16899,16.51890128
Temperate,Denmark,DK_52008,2005,212,0.06,2.79,2.43,0.31,15,56.6289,11.9845,erik,1.273492059,3,2473,2.999996829
Temperate,Denmark,DK_16043,2004,212,0.21,0.59,1.53,0.27,15,56.6725,8.8106,erik,1.856410806,3,589,3
Temperate,Denmark,DK_16134,2004,212,0.82,0.98,2.55,0.2,15,56.7219,9.0821,erik,3.605020705,6,3415,5.999999983
Temperate,Denmark,DK_12003,2004,212,0.25,0.59,1.81,0.21,15,56.7665,8.8263,erik,6.588024393,12,13364,11.52283983
Temperate,Denmark,DK_13002,2006,212,0.11,1.71,0.96,0.06,15,56.7902,9.7484,erik,5.348439583,14,2394,13.99894003
